s,d,p,-sport,-dport,src_ip,dst_ip,protocol_code,packet_size,packets_per_second
I5,SV0,tcp,554,554,192.0.0.39,192.0.0.5,6,1156,48
I5,SV1,tcp,554,554,192.0.0.39,192.0.0.6,6,1046,24
C5,SV0,tcp,4840,4840,192.0.0.69,192.0.0.5,6,692,47
C5,SV0,tcp,22,22,192.0.0.69,192.0.0.5,6,1333,10
C5,C0,udp,34964,34964,192.0.0.69,192.0.0.7,17,90,86
C5,C0,tcp,22,22,192.0.0.69,192.0.0.7,6,813,22
C5,C1,tcp,22,22,192.0.0.69,192.0.0.8,6,693,99
C5,C2,tcp,4840,4840,192.0.0.69,192.0.0.36,6,356,24
C5,C2,tcp,22,22,192.0.0.69,192.0.0.36,6,852,73
C5,C2,udp,34964,34964,192.0.0.69,192.0.0.36,17,91,99
C5,C3,udp,34963,34963,192.0.0.69,192.0.0.37,17,65,48
C5,C3,tcp,4840,4840,192.0.0.69,192.0.0.37,6,651,23
C5,C3,tcp,22,22,192.0.0.69,192.0.0.37,6,677,13
C5,SV0,tcp,4840,4840,192.0.0.69,192.0.0.5,6,645,48
C5,SV0,tcp,22,22,192.0.0.69,192.0.0.5,6,830,16
C5,C0,udp,53247,53247,192.0.0.69,192.0.0.7,17,95,69
C5,C0,tcp,22,22,192.0.0.69,192.0.0.7,6,1128,28
C5,C1,tcp,22,22,192.0.0.69,192.0.0.8,6,1460,29
C5,C2,tcp,4840,4840,192.0.0.69,192.0.0.36,6,794,29
C5,C2,udp,34964,34964,192.0.0.69,192.0.0.36,17,85,15
C5,C2,tcp,22,22,192.0.0.69,192.0.0.36,6,862,71
C5,C3,tcp,4840,4840,192.0.0.69,192.0.0.37,6,637,93
C5,C3,udp,34962,34962,192.0.0.69,192.0.0.37,17,88,30
C5,C3,tcp,22,22,192.0.0.69,192.0.0.37,6,1404,16
SV1,I5,tcp,554,554,192.0.0.6,192.0.0.39,6,1192,59
SV1,I5,tcp,554,554,192.0.0.6,192.0.0.39,6,1272,18
C0,C2,udp,34980,34980,192.0.0.7,192.0.0.36,17,84,94
C0,C2,udp,34963,34963,192.0.0.7,192.0.0.36,17,87,93
C0,C2,tcp,22,22,192.0.0.7,192.0.0.36,6,1257,24
C0,C2,tcp,80,80,192.0.0.7,192.0.0.36,6,648,26
C0,C3,udp,34980,34980,192.0.0.7,192.0.0.37,17,72,81
C0,C3,udp,34962,34962,192.0.0.7,192.0.0.37,17,88,77
C0,C3,tcp,22,22,192.0.0.7,192.0.0.37,6,1335,50
C0,C3,tcp,80,80,192.0.0.7,192.0.0.37,6,568,97
C0,C4,udp,34980,34980,192.0.0.7,192.0.0.68,17,77,96
C0,C4,udp,34964,34964,192.0.0.7,192.0.0.68,17,70,24
C0,C4,tcp,443,443,192.0.0.7,192.0.0.68,6,674,28
C0,C5,udp,34964,34964,192.0.0.7,192.0.0.69,17,97,23
C0,C5,tcp,22,22,192.0.0.7,192.0.0.69,6,805,48
C0,C2,udp,34980,34980,192.0.0.7,192.0.0.36,17,75,15
C0,C2,tcp,22,22,192.0.0.7,192.0.0.36,6,568,29
C0,C2,udp,53247,53247,192.0.0.7,192.0.0.36,17,78,30
C0,C2,tcp,80,80,192.0.0.7,192.0.0.36,6,1099,68
C0,C3,udp,53247,53247,192.0.0.7,192.0.0.37,17,92,37
C0,C3,tcp,22,22,192.0.0.7,192.0.0.37,6,1283,80
C0,C3,udp,34980,34980,192.0.0.7,192.0.0.37,17,98,43
C0,C3,tcp,80,80,192.0.0.7,192.0.0.37,6,79,43
C0,C4,udp,34980,34980,192.0.0.7,192.0.0.68,17,92,76
C0,C4,udp,34962,34962,192.0.0.7,192.0.0.68,17,83,74
C0,C4,tcp,80,80,192.0.0.7,192.0.0.68,6,644,70
C0,C5,udp,53247,53247,192.0.0.7,192.0.0.69,17,82,34
C0,C5,tcp,22,22,192.0.0.7,192.0.0.69,6,1476,20
C4,C0,udp,34980,34980,192.0.0.68,192.0.0.7,17,91,71
C4,C0,udp,34964,34964,192.0.0.68,192.0.0.7,17,67,26
C4,C0,tcp,443,443,192.0.0.68,192.0.0.7,6,444,58
C4,C1,udp,34980,34980,192.0.0.68,192.0.0.8,17,87,47
C4,C2,udp,34980,34980,192.0.0.68,192.0.0.36,17,77,18
C4,C2,udp,34962,34962,192.0.0.68,192.0.0.36,17,73,74
C4,C2,tcp,80,80,192.0.0.68,192.0.0.36,6,1197,43
C4,C3,udp,53247,53247,192.0.0.68,192.0.0.37,17,82,95
C4,C3,udp,34980,34980,192.0.0.68,192.0.0.37,17,84,10
C4,C3,tcp,80,80,192.0.0.68,192.0.0.37,6,727,31
C4,C0,udp,34980,34980,192.0.0.68,192.0.0.7,17,94,66
C4,C0,udp,34962,34962,192.0.0.68,192.0.0.7,17,100,88
C4,C0,tcp,80,80,192.0.0.68,192.0.0.7,6,220,97
C4,C1,udp,34980,34980,192.0.0.68,192.0.0.8,17,97,74
C4,C2,udp,34980,34980,192.0.0.68,192.0.0.36,17,81,95
C4,C2,udp,53247,53247,192.0.0.68,192.0.0.36,17,87,47
C4,C2,tcp,443,443,192.0.0.68,192.0.0.36,6,974,31
C4,C3,udp,34980,34980,192.0.0.68,192.0.0.37,17,75,18
C4,C3,udp,53247,53247,192.0.0.68,192.0.0.37,17,88,67
C4,C3,tcp,80,80,192.0.0.68,192.0.0.37,6,1332,22
C1,C2,udp,34980,34980,192.0.0.8,192.0.0.36,17,80,67
C1,C2,tcp,22,22,192.0.0.8,192.0.0.36,6,878,18
C1,C3,udp,34980,34980,192.0.0.8,192.0.0.37,17,72,55
C1,C3,tcp,22,22,192.0.0.8,192.0.0.37,6,748,85
C1,C4,udp,34980,34980,192.0.0.8,192.0.0.68,17,74,77
C1,C5,tcp,22,22,192.0.0.8,192.0.0.69,6,550,21
C1,C2,udp,34980,34980,192.0.0.8,192.0.0.36,17,70,40
C1,C2,tcp,22,22,192.0.0.8,192.0.0.36,6,894,64
C1,C3,tcp,22,22,192.0.0.8,192.0.0.37,6,861,98
C1,C3,udp,34980,34980,192.0.0.8,192.0.0.37,17,82,22
C1,C4,udp,34980,34980,192.0.0.8,192.0.0.68,17,85,77
C1,C5,tcp,22,22,192.0.0.8,192.0.0.69,6,724,52
