index,conditions,hit_count,expected_decision
15,"{""SRC"": ""C2"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",191,EPacketDecision.ACCEPT
16,"{""SRC"": ""C2"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",42,EPacketDecision.ACCEPT
17,"{""SRC"": ""C2"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",102,EPacketDecision.ACCEPT
18,"{""SRC"": ""C2"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",123,EPacketDecision.ACCEPT
19,"{""SRC"": ""C2"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",363,EPacketDecision.ACCEPT
20,"{""SRC"": ""C2"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",299,EPacketDecision.ACCEPT
21,"{""SRC"": ""C2"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",125,EPacketDecision.ACCEPT
22,"{""SRC"": ""C2"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",266,EPacketDecision.ACCEPT
23,"{""SRC"": ""C2"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",71,EPacketDecision.ACCEPT
24,"{""SRC"": ""C2"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",336,EPacketDecision.ACCEPT
25,"{""SRC"": ""C2"", ""DST"": ""C5"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",230,EPacketDecision.ACCEPT
26,"{""SRC"": ""C3"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",205,EPacketDecision.ACCEPT
27,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",372,EPacketDecision.ACCEPT
28,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",421,EPacketDecision.ACCEPT
29,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",18,EPacketDecision.ACCEPT
30,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",250,EPacketDecision.ACCEPT
31,"{""SRC"": ""C3"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",256,EPacketDecision.ACCEPT
32,"{""SRC"": ""C3"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",453,EPacketDecision.ACCEPT
33,"{""SRC"": ""C3"", ""DST"": ""C1"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",471,EPacketDecision.ACCEPT
34,"{""SRC"": ""C3"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",218,EPacketDecision.ACCEPT
35,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",260,EPacketDecision.ACCEPT
36,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",465,EPacketDecision.ACCEPT
37,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",196,EPacketDecision.ACCEPT
38,"{""SRC"": ""C3"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",164,EPacketDecision.ACCEPT
39,"{""SRC"": ""C3"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",323,EPacketDecision.ACCEPT
40,"{""SRC"": ""C3"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",338,EPacketDecision.ACCEPT
41,"{""SRC"": ""C3"", ""DST"": ""C1"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",39,EPacketDecision.ACCEPT
42,"{""SRC"": ""C3"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",152,EPacketDecision.ACCEPT
43,"{""SRC"": ""C3"", ""DST"": ""C5"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",50,EPacketDecision.ACCEPT
44,"{""SRC"": ""C3"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",100,EPacketDecision.ACCEPT
45,"{""SRC"": ""I4"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",191,EPacketDecision.ACCEPT
46,"{""SRC"": ""I4"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",85,EPacketDecision.ACCEPT
47,"{""SRC"": ""I4"", ""DST"": ""SV1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",177,EPacketDecision.ACCEPT
48,"{""SRC"": ""I4"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",182,EPacketDecision.ACCEPT
49,"{""SRC"": ""I4"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",20,EPacketDecision.ACCEPT
50,"{""SRC"": ""I4"", ""DST"": ""SV1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",181,EPacketDecision.ACCEPT
51,"{""SRC"": ""I5"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",399,EPacketDecision.ACCEPT
52,"{""SRC"": ""I6"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",241,EPacketDecision.ACCEPT
53,"{""SRC"": ""I6"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",1,EPacketDecision.ACCEPT
54,"{""SRC"": ""I6"", ""DST"": ""SV1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",54,EPacketDecision.ACCEPT
55,"{""SRC"": ""I6"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",320,EPacketDecision.ACCEPT
56,"{""SRC"": ""I6"", ""DST"": ""SV0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",199,EPacketDecision.ACCEPT
57,"{""SRC"": ""I6"", ""DST"": ""SV1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",67,EPacketDecision.ACCEPT
58,"{""SRC"": ""SV1"", ""DST"": ""I4"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",89,EPacketDecision.ACCEPT
59,"{""SRC"": ""SV1"", ""DST"": ""I6"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",306,EPacketDecision.ACCEPT
60,"{""SRC"": ""SV1"", ""DST"": ""I4"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",207,EPacketDecision.ACCEPT
61,"{""SRC"": ""SV1"", ""DST"": ""I6"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 554, ""DST_PORT"": 554}",151,EPacketDecision.ACCEPT
62,"{""SRC"": ""C0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",311,EPacketDecision.ACCEPT
63,"{""SRC"": ""C0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",53,EPacketDecision.ACCEPT
64,"{""SRC"": ""C0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",272,EPacketDecision.ACCEPT
65,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",262,EPacketDecision.ACCEPT
66,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",177,EPacketDecision.ACCEPT
67,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",262,EPacketDecision.ACCEPT
68,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",431,EPacketDecision.ACCEPT
69,"{""SRC"": ""C0"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34964, ""DST_PORT"": 34964}",79,EPacketDecision.ACCEPT
70,"{""SRC"": ""C0"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",350,EPacketDecision.ACCEPT
71,"{""SRC"": ""C0"", ""DST"": ""C5"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",214,EPacketDecision.ACCEPT
72,"{""SRC"": ""C0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",482,EPacketDecision.ACCEPT
73,"{""SRC"": ""C0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",327,EPacketDecision.ACCEPT
74,"{""SRC"": ""C0"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",261,EPacketDecision.ACCEPT
75,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",429,EPacketDecision.ACCEPT
76,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",452,EPacketDecision.ACCEPT
77,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",137,EPacketDecision.ACCEPT
78,"{""SRC"": ""C0"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 22, ""DST_PORT"": 22}",73,EPacketDecision.ACCEPT
79,"{""SRC"": ""C0"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34963, ""DST_PORT"": 34963}",84,EPacketDecision.ACCEPT
80,"{""SRC"": ""C0"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",434,EPacketDecision.ACCEPT
81,"{""SRC"": ""C4"", ""DST"": ""C0"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34964, ""DST_PORT"": 34964}",363,EPacketDecision.ACCEPT
82,"{""SRC"": ""C4"", ""DST"": ""C0"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",259,EPacketDecision.ACCEPT
83,"{""SRC"": ""C4"", ""DST"": ""C1"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",430,EPacketDecision.ACCEPT
84,"{""SRC"": ""C4"", ""DST"": ""C3"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",224,EPacketDecision.ACCEPT
85,"{""SRC"": ""C4"", ""DST"": ""C0"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34963, ""DST_PORT"": 34963}",460,EPacketDecision.ACCEPT
86,"{""SRC"": ""C4"", ""DST"": ""C0"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",90,EPacketDecision.ACCEPT
87,"{""SRC"": ""C4"", ""DST"": ""C1"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",209,EPacketDecision.ACCEPT
88,"{""SRC"": ""C4"", ""DST"": ""C3"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",171,EPacketDecision.ACCEPT
89,"{""SRC"": ""C5"", ""DST"": ""C0"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",413,EPacketDecision.ACCEPT
90,"{""SRC"": ""C5"", ""DST"": ""C1"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",482,EPacketDecision.ACCEPT
91,"{""SRC"": ""C5"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",274,EPacketDecision.ACCEPT
92,"{""SRC"": ""C5"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",410,EPacketDecision.ACCEPT
93,"{""SRC"": ""C1"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",441,EPacketDecision.ACCEPT
94,"{""SRC"": ""C1"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",11,EPacketDecision.ACCEPT
95,"{""SRC"": ""C1"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",483,EPacketDecision.ACCEPT
96,"{""SRC"": ""C1"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",154,EPacketDecision.ACCEPT
97,"{""SRC"": ""C1"", ""DST"": ""C3"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",13,EPacketDecision.ACCEPT
98,"{""SRC"": ""C1"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",56,EPacketDecision.ACCEPT
99,"{""SRC"": ""C1"", ""DST"": ""C5"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",129,EPacketDecision.ACCEPT
100,"{""SRC"": ""C1"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",181,EPacketDecision.ACCEPT
101,"{""SRC"": ""C1"", ""DST"": ""C2"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 80, ""DST_PORT"": 80}",339,EPacketDecision.ACCEPT
102,"{""SRC"": ""C1"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",188,EPacketDecision.ACCEPT
103,"{""SRC"": ""C1"", ""DST"": ""C3"", ""PROTOCOL"": ""tcp"", ""SRC_PORT"": 443, ""DST_PORT"": 443}",354,EPacketDecision.ACCEPT
104,"{""SRC"": ""C1"", ""DST"": ""C3"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",214,EPacketDecision.ACCEPT
105,"{""SRC"": ""C1"", ""DST"": ""C4"", ""PROTOCOL"": ""udp"", ""SRC_PORT"": 34980, ""DST_PORT"": 34980}",157,EPacketDecision.ACCEPT
106,"{""SRC"": ""SV1"", ""DST"": ""SV1"", ""PROTOCOL"": 6, ""SRC_PORT"": 554, ""DST_PORT"": 554}",20,EPacketDecision.DROP
107,"{""SRC"": ""SV0"", ""DST"": ""SV0"", ""PROTOCOL"": 6, ""SRC_PORT"": 554, ""DST_PORT"": 554}",61,EPacketDecision.DROP
108,"{""SRC"": ""SV0"", ""DST"": ""C2"", ""PROTOCOL"": 6, ""SRC_PORT"": 554, ""DST_PORT"": 554}",14,EPacketDecision.DROP
109,"{""SRC"": ""SV0"", ""DST"": ""C3"", ""PROTOCOL"": 6, ""SRC_PORT"": 554, ""DST_PORT"": 554}",168,EPacketDecision.DROP
110,"{""SRC"": ""I0"", ""DST"": ""I4"", ""PROTOCOL"": 6, ""SRC_PORT"": 554, ""DST_PORT"": 554}",464,EPacketDecision.DROP
111,"{""SRC"": ""C1"", ""DST"": ""C1"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",372,EPacketDecision.DROP
112,"{""SRC"": ""C1"", ""DST"": ""I4"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",287,EPacketDecision.DROP
113,"{""SRC"": ""C1"", ""DST"": ""I6"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",482,EPacketDecision.DROP
114,"{""SRC"": ""C0"", ""DST"": ""C0"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",126,EPacketDecision.DROP
115,"{""SRC"": ""C0"", ""DST"": ""O0"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",374,EPacketDecision.DROP
116,"{""SRC"": ""C0"", ""DST"": ""I6"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",486,EPacketDecision.DROP
117,"{""SRC"": ""C0"", ""DST"": ""C4"", ""PROTOCOL"": 17, ""SRC_PORT"": 34962, ""DST_PORT"": 34962}",240,EPacketDecision.DROP
118,"{""SRC"": ""C0"", ""DST"": ""C4"", ""PROTOCOL"": 17, ""SRC_PORT"": 53247, ""DST_PORT"": 53247}",424,EPacketDecision.DROP
119,"{""SRC"": ""O0"", ""DST"": ""C0"", ""PROTOCOL"": 17, ""SRC_PORT"": 34962, ""DST_PORT"": 34962}",206,EPacketDecision.DROP
120,"{""SRC"": ""I4"", ""DST"": ""I3"", ""PROTOCOL"": 6, ""SRC_PORT"": 22, ""DST_PORT"": 22}",63,EPacketDecision.DROP
121,"{""SRC"": ""C4"", ""DST"": ""C0"", ""PROTOCOL"": 17, ""SRC_PORT"": 34962, ""DST_PORT"": 34962}",43,EPacketDecision.DROP
122,"{""SRC"": ""C4"", ""DST"": ""C0"", ""PROTOCOL"": 17, ""SRC_PORT"": 53247, ""DST_PORT"": 53247}",422,EPacketDecision.DROP
123,"{""SRC"": ""C4"", ""DST"": ""C4"", ""PROTOCOL"": 17, ""SRC_PORT"": 34962, ""DST_PORT"": 34962}",410,EPacketDecision.DROP
124,"{""SRC"": ""C3"", ""DST"": ""SV0"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",90,EPacketDecision.DROP
125,"{""SRC"": ""C3"", ""DST"": ""I3"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",373,EPacketDecision.DROP
126,"{""SRC"": ""C3"", ""DST"": ""C1"", ""PROTOCOL"": 6, ""SRC_PORT"": 22, ""DST_PORT"": 22}",391,EPacketDecision.DROP
127,"{""SRC"": ""C3"", ""DST"": ""I6"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",257,EPacketDecision.DROP
128,"{""SRC"": ""I6"", ""DST"": ""C3"", ""PROTOCOL"": 6, ""SRC_PORT"": 22, ""DST_PORT"": 22}",295,EPacketDecision.DROP
129,"{""SRC"": ""C2"", ""DST"": ""SV0"", ""PROTOCOL"": 6, ""SRC_PORT"": 4840, ""DST_PORT"": 4840}",34,EPacketDecision.DROP
130,"{""SRC"": ""C2"", ""DST"": ""I2"", ""PROTOCOL"": 6, ""SRC_PORT"": 22, ""DST_PORT"": 22}",175,EPacketDecision.DROP
131,"{""SRC"": ""C2"", ""DST"": ""I6"", ""PROTOCOL"": 6, ""SRC_PORT"": 22, ""DST_PORT"": 22}",213,EPacketDecision.DROP
